<Centering_Scaling_PC_loadings_Parameters>,H_valency,0.99402109,0.002517194,0,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_sumOFBondIndices,-0.127139744,0.003286914,1,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_mullikenCharge,0.866880897,0.004669632,2,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_AlphaSpin_S,0.417892821,0.002296518,3,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_AlphaSpin_D,0.015547244,5.70E-05,4,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_TotalSpinPopulation_S,0.835785769,0.004593064,5,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_TotalSpinPopulation_P,0.031094744,0.000113532,6,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_LargeBondIndices,0.979376538,0.002446676,7,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_angles1,0.257363527,0.179002472,8,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_EffectiveAtomPolarizabilityDescriptor,3.186524359,0.183118185,9,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_PartialSigmaChargeDescriptor,0.123504591,0.000201245,10,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_SigmaElectronegativityDescriptor,7.928704717,0.001031638,11,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,H_BondLength,1.062429221,0.000331541,12,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,C_valency,3.754944615,0.009358345,13,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,C_sumOFBondIndices,2.529721667,0.028942425,14,,,,,,,,,,,,,,,,,,,,,,,
<Centering_Scaling_PC_loadings_Parameters>,C_mullikenCharge,6.284665769,0.026338409,15,,,,,,,,,,,,,,,,,,,,,,,
